Gene_ID,Family,Module_ID,Module_Name,kME_Hub_Score
AhypMYB112,MYB,1,Turquoise (Drought/Abiotic),0.5277
AhypNAC25,NAC,1,Turquoise (Drought/Abiotic),0.5231
AhypNAC66,NAC,1,Turquoise (Drought/Abiotic),0.5159
AhypMYB114,MYB,1,Turquoise (Drought/Abiotic),0.4991
AhypNAC44,NAC,1,Turquoise (Drought/Abiotic),0.4974
AhypNAC59,NAC,1,Turquoise (Drought/Abiotic),0.496
AhypMYB096,MYB,1,Turquoise (Drought/Abiotic),0.4929
AhypNAC27,NAC,1,Turquoise (Drought/Abiotic),0.4889
AhypNAC22,NAC,1,Turquoise (Drought/Abiotic),0.4876
AhypNAC30,NAC,1,Turquoise (Drought/Abiotic),0.4876
AhypNAC70,NAC,1,Turquoise (Drought/Abiotic),0.4876
AhypNAC09,NAC,1,Turquoise (Drought/Abiotic),0.4837
AhypNAC07,NAC,1,Turquoise (Drought/Abiotic),0.4799
N_AH022281-RA,NLR,1,Turquoise (Drought/Abiotic),0.4792
AhypMYB103,MYB,1,Turquoise (Drought/Abiotic),0.4765
AhypNAC68,NAC,1,Turquoise (Drought/Abiotic),0.471
AhypNAC29,NAC,1,Turquoise (Drought/Abiotic),0.4676
CN_AH010002-RA,NLR,1,Turquoise (Drought/Abiotic),0.4676
AhypNAC04,NAC,1,Turquoise (Drought/Abiotic),0.4655
AhypNAC03,NAC,1,Turquoise (Drought/Abiotic),0.4626
AhypMYB074,MYB,1,Turquoise (Drought/Abiotic),0.4556
AhypNAC24,NAC,1,Turquoise (Drought/Abiotic),0.4552
AhypNAC41,NAC,1,Turquoise (Drought/Abiotic),0.4511
AhypMYB077,MYB,1,Turquoise (Drought/Abiotic),0.4478
AhypNAC64,NAC,1,Turquoise (Drought/Abiotic),0.4446
AhypNAC45,NAC,1,Turquoise (Drought/Abiotic),0.4427
CNL_AH009997-RA,NLR,1,Turquoise (Drought/Abiotic),0.4381
AhypMYB046,MYB,1,Turquoise (Drought/Abiotic),0.4325
AhypNAC46,NAC,1,Turquoise (Drought/Abiotic),0.4311
AhypMYB025,MYB,1,Turquoise (Drought/Abiotic),0.4301
CN_AH013470-RA,NLR,1,Turquoise (Drought/Abiotic),0.4297
AhypNAC42,NAC,1,Turquoise (Drought/Abiotic),0.4287
N_AH020116-RA,NLR,1,Turquoise (Drought/Abiotic),0.4271
AhypNAC08,NAC,1,Turquoise (Drought/Abiotic),0.4265
AhypMYB060,MYB,1,Turquoise (Drought/Abiotic),0.4241
AhypNAC65,NAC,1,Turquoise (Drought/Abiotic),0.4227
N_AH011686-RA,NLR,1,Turquoise (Drought/Abiotic),0.4204
NL_AH006842-RA,NLR,1,Turquoise (Drought/Abiotic),0.42
AhypMYB033,MYB,1,Turquoise (Drought/Abiotic),0.4194
AhypMYB118,MYB,1,Turquoise (Drought/Abiotic),0.4188
AhypNAC26,NAC,1,Turquoise (Drought/Abiotic),0.4184
CNL_AH023357-RA,NLR,1,Turquoise (Drought/Abiotic),0.4167
AhypMYB061,MYB,1,Turquoise (Drought/Abiotic),0.4153
CN_AH022277-RA,NLR,1,Turquoise (Drought/Abiotic),0.4151
AhypMYB058,MYB,1,Turquoise (Drought/Abiotic),0.4133
AhypNAC28,NAC,1,Turquoise (Drought/Abiotic),0.4104
AhypMYB093,MYB,1,Turquoise (Drought/Abiotic),0.4089
N_AH022268-RA,NLR,1,Turquoise (Drought/Abiotic),0.4078
AhypNAC47,NAC,1,Turquoise (Drought/Abiotic),0.4075
AhypMYB017,MYB,1,Turquoise (Drought/Abiotic),0.4046
CNL_AH010091-RA,NLR,1,Turquoise (Drought/Abiotic),0.4046
AhypNAC40,NAC,1,Turquoise (Drought/Abiotic),0.4027
AhypNAC67,NAC,1,Turquoise (Drought/Abiotic),0.4013
AhypNAC43,NAC,1,Turquoise (Drought/Abiotic),0.3955
AhypNAC20,NAC,1,Turquoise (Drought/Abiotic),0.3952
AhypNAC53,NAC,1,Turquoise (Drought/Abiotic),0.3941
AhypNAC37,NAC,1,Turquoise (Drought/Abiotic),0.3936
NL_AH009834-RA,NLR,1,Turquoise (Drought/Abiotic),0.3936
CN_AH008122-RA,NLR,1,Turquoise (Drought/Abiotic),0.3914
AhypNAC12,NAC,1,Turquoise (Drought/Abiotic),0.3908
AhypMYB122,MYB,1,Turquoise (Drought/Abiotic),0.3904
NL_AH022266-RA,NLR,1,Turquoise (Drought/Abiotic),0.3901
AhypNAC52,NAC,1,Turquoise (Drought/Abiotic),0.3895
AhypMYB023,MYB,1,Turquoise (Drought/Abiotic),0.3876
AhypMYB049,MYB,1,Turquoise (Drought/Abiotic),0.3866
AhypMYB053,MYB,1,Turquoise (Drought/Abiotic),0.3854
AhypMYB004,MYB,1,Turquoise (Drought/Abiotic),0.3852
CN_AH003387-RA,NLR,1,Turquoise (Drought/Abiotic),0.3835
CNL_AH012266-RA,NLR,1,Turquoise (Drought/Abiotic),0.3828
AhypMYB082,MYB,1,Turquoise (Drought/Abiotic),0.3812
N_AH012293-RA,NLR,1,Turquoise (Drought/Abiotic),0.3807
N_AH020307-RA,NLR,1,Turquoise (Drought/Abiotic),0.3797
AhypNAC14,NAC,1,Turquoise (Drought/Abiotic),0.377
AhypNAC21,NAC,1,Turquoise (Drought/Abiotic),0.3765
CNL_AH020614-RA,NLR,1,Turquoise (Drought/Abiotic),0.3744
AhypMYB063,MYB,1,Turquoise (Drought/Abiotic),0.3727
CNL_AH014846-RA,NLR,1,Turquoise (Drought/Abiotic),0.3718
AhypNAC49,NAC,1,Turquoise (Drought/Abiotic),0.37
NL_AH013357-RA,NLR,1,Turquoise (Drought/Abiotic),0.3672
AhypMYB039,MYB,1,Turquoise (Drought/Abiotic),0.3665
AhypNAC38,NAC,1,Turquoise (Drought/Abiotic),0.366
AhypMYB035,MYB,1,Turquoise (Drought/Abiotic),0.3656
AhypMYB054,MYB,1,Turquoise (Drought/Abiotic),0.3641
AhypNAC01,NAC,1,Turquoise (Drought/Abiotic),0.3638
AhypMYB034,MYB,1,Turquoise (Drought/Abiotic),0.3622
CN_AH003495-RA,NLR,1,Turquoise (Drought/Abiotic),0.3602
AhypMYB120,MYB,1,Turquoise (Drought/Abiotic),0.359
AhypMYB126,MYB,1,Turquoise (Drought/Abiotic),0.3584
AhypMYB084,MYB,1,Turquoise (Drought/Abiotic),0.3573
AhypNAC57,NAC,1,Turquoise (Drought/Abiotic),0.3571
AhypMYB098,MYB,1,Turquoise (Drought/Abiotic),0.357
AhypMYB072,MYB,1,Turquoise (Drought/Abiotic),0.3533
CN_AH009848-RA,NLR,1,Turquoise (Drought/Abiotic),0.3518
AhypMYB101,MYB,1,Turquoise (Drought/Abiotic),0.3504
CNL_AH002167-RA,NLR,1,Turquoise (Drought/Abiotic),0.35
NL_AH022464-RA,NLR,1,Turquoise (Drought/Abiotic),0.3491
CN_AH009758-RA,NLR,1,Turquoise (Drought/Abiotic),0.3459
AhypMYB022,MYB,1,Turquoise (Drought/Abiotic),0.3448
CNL_AH009849-RA,NLR,1,Turquoise (Drought/Abiotic),0.3429
AhypMYB083,MYB,1,Turquoise (Drought/Abiotic),0.341
AhypMYB018,MYB,1,Turquoise (Drought/Abiotic),0.3406
CN_AH021370-RA,NLR,1,Turquoise (Drought/Abiotic),0.3398
AhypNAC15,NAC,1,Turquoise (Drought/Abiotic),0.3368
AhypNAC18,NAC,1,Turquoise (Drought/Abiotic),0.335
CNL_AH004272-RA,NLR,1,Turquoise (Drought/Abiotic),0.3328
