Original_ID,Gene_ID,New_ID,Family
AH000437-RA,AH000437-RA,AhypMYB001,MYB
AH000571-RA,AH000571-RA,AhypMYB002,MYB
AH001026-RA,AH001026-RA,AhypMYB003,MYB
AH001212-RA,AH001212-RA,AhypMYB004,MYB
AH001676-RA,AH001676-RA,AhypMYB005,MYB
AH001803-RA,AH001803-RA,AhypMYB006,MYB
AH001812-RA,AH001812-RA,AhypMYB007,MYB
AH002163-RA,AH002163-RA,AhypMYB008,MYB
AH002516-RA,AH002516-RA,AhypMYB009,MYB
AH002654-RA,AH002654-RA,AhypMYB010,MYB
AH002675-RA,AH002675-RA,AhypMYB011,MYB
AH002727-RA,AH002727-RA,AhypMYB012,MYB
AH002765-RA,AH002765-RA,AhypMYB013,MYB
AH002820-RA,AH002820-RA,AhypMYB014,MYB
AH003825-RA,AH003825-RA,AhypMYB015,MYB
AH003910-RA,AH003910-RA,AhypMYB016,MYB
AH004597-RA,AH004597-RA,AhypMYB017,MYB
AH004643-RA,AH004643-RA,AhypMYB018,MYB
AH005041-RA,AH005041-RA,AhypMYB019,MYB
AH005091-RA,AH005091-RA,AhypMYB020,MYB
AH005463-RA,AH005463-RA,AhypMYB021,MYB
AH005754-RA,AH005754-RA,AhypMYB022,MYB
AH005903-RA,AH005903-RA,AhypMYB023,MYB
AH006161-RA,AH006161-RA,AhypMYB024,MYB
AH006536-RA,AH006536-RA,AhypMYB025,MYB
AH006564-RA,AH006564-RA,AhypMYB026,MYB
AH006797-RA,AH006797-RA,AhypMYB027,MYB
AH006835-RA,AH006835-RA,AhypMYB028,MYB
AH007017-RA,AH007017-RA,AhypMYB029,MYB
AH007459-RA,AH007459-RA,AhypMYB030,MYB
AH007496-RA,AH007496-RA,AhypMYB031,MYB
AH007563-RA,AH007563-RA,AhypMYB032,MYB
AH007777-RA,AH007777-RA,AhypMYB033,MYB
AH007850-RA,AH007850-RA,AhypMYB034,MYB
AH007879-RA,AH007879-RA,AhypMYB035,MYB
AH008213-RA,AH008213-RA,AhypMYB036,MYB
AH008358-RA,AH008358-RA,AhypMYB037,MYB
AH008409-RA,AH008409-RA,AhypMYB038,MYB
AH008669-RA,AH008669-RA,AhypMYB039,MYB
AH009253-RA,AH009253-RA,AhypMYB040,MYB
AH009423-RA,AH009423-RA,AhypMYB041,MYB
AH009451-RA,AH009451-RA,AhypMYB042,MYB
AH009477-RA,AH009477-RA,AhypMYB043,MYB
AH009534-RA,AH009534-RA,AhypMYB044,MYB
AH009641-RA,AH009641-RA,AhypMYB045,MYB
AH010245-RA,AH010245-RA,AhypMYB046,MYB
AH010246-RA,AH010246-RA,AhypMYB047,MYB
AH010247-RA,AH010247-RA,AhypMYB048,MYB
AH010249-RA,AH010249-RA,AhypMYB049,MYB
AH010625-RA,AH010625-RA,AhypMYB050,MYB
AH010708-RA,AH010708-RA,AhypMYB051,MYB
AH010904-RA,AH010904-RA,AhypMYB052,MYB
AH011004-RA,AH011004-RA,AhypMYB053,MYB
AH011097-RA,AH011097-RA,AhypMYB054,MYB
AH011098-RA,AH011098-RA,AhypMYB055,MYB
AH011132-RA,AH011132-RA,AhypMYB056,MYB
AH011817-RA,AH011817-RA,AhypMYB057,MYB
AH011877-RA,AH011877-RA,AhypMYB058,MYB
AH012097-RA,AH012097-RA,AhypMYB059,MYB
AH012382-RA,AH012382-RA,AhypMYB060,MYB
AH012748-RA,AH012748-RA,AhypMYB061,MYB
AH013140-RA,AH013140-RA,AhypMYB062,MYB
AH013332-RA,AH013332-RA,AhypMYB063,MYB
AH013365-RA,AH013365-RA,AhypMYB064,MYB
AH013777-RA,AH013777-RA,AhypMYB065,MYB
AH013791-RA,AH013791-RA,AhypMYB066,MYB
AH014208-RA,AH014208-RA,AhypMYB067,MYB
AH014245-RA,AH014245-RA,AhypMYB068,MYB
AH014386-RA,AH014386-RA,AhypMYB069,MYB
AH014566-RA,AH014566-RA,AhypMYB070,MYB
AH014735-RA,AH014735-RA,AhypMYB071,MYB
AH014879-RA,AH014879-RA,AhypMYB072,MYB
