Gene_ID,Family,Original_ID,NAC_binding_site,MYB_binding_site,W_box_Immune,ABRE_Drought
AhypNAC55,NAC,AH015775-RA,3,4,2,0
AhypMYB082,MYB,AH016480-RA,13,2,3,1
AhypNAC56,NAC,AH015793-RA,7,5,1,1
CN_AH016561-RA,NLR,AH016561-RA,5,1,2,2
CNL_AH016085-RA,NLR,AH016085-RA,10,0,2,1
AhypMYB080,MYB,AH016393-RA,15,5,1,0
AhypMYB083,MYB,AH016589-RA,8,0,1,0
AhypMYB079,MYB,AH015990-RA,9,4,7,0
AhypMYB078,MYB,AH015907-RA,12,5,1,0
NL_AH016086-RA,NLR,AH016086-RA,10,6,5,0
AhypMYB077,MYB,AH015794-RA,8,5,4,0
AhypMYB084,MYB,AH016655-RA,5,2,2,0
AhypMYB076,MYB,AH015778-RA,4,4,2,0
AhypMYB081,MYB,AH016406-RA,5,5,1,0
AhypMYB085,MYB,AH016987-RA,5,2,2,1
AhypNAC59,NAC,AH017360-RA,8,4,2,0
CNL_AH017052-RA,NLR,AH017052-RA,4,1,2,0
CNL_AH017537-RA,NLR,AH017537-RA,7,3,2,0
NL_AH017374-RA,NLR,AH017374-RA,8,5,1,0
AhypMYB089,MYB,AH017938-RA,12,1,3,1
CNL_AH017033-RA,NLR,AH017033-RA,10,3,3,1
AhypMYB086,MYB,AH017255-RA,14,8,1,0
CNL_AH017807-RA,NLR,AH017807-RA,9,4,5,0
AhypMYB090,MYB,AH017970-RA,7,0,0,0
NL_AH017313-RA,NLR,AH017313-RA,11,3,1,0
AhypNAC57,NAC,AH016668-RA,11,3,1,0
AhypNAC62,NAC,AH017718-RA,8,4,3,0
AhypMYB087,MYB,AH017583-RA,9,4,3,2
AhypMYB088,MYB,AH017708-RA,7,4,1,2
AhypNAC60,NAC,AH017551-RA,9,3,1,2
AhypNAC58,NAC,AH017051-RA,5,3,2,0
AhypNAC61,NAC,AH017564-RA,6,4,0,0
AhypMYB095,MYB,AH018530-RA,5,1,3,0
AhypNAC64,NAC,AH018336-RA,7,5,4,0
AhypMYB093,MYB,AH018298-RA,6,2,6,0
N_AH018022-RA,NLR,AH018022-RA,11,3,3,1
AhypMYB103,MYB,AH019365-RA,3,1,2,0
AhypMYB092,MYB,AH018215-RA,5,6,2,0
AhypMYB098,MYB,AH019074-RA,9,3,2,0
AhypNAC65,NAC,AH018557-RA,5,1,1,0
AhypMYB091,MYB,AH018003-RA,8,2,0,1
AhypMYB101,MYB,AH019117-RA,11,8,0,0
CNL_AH019238-RA,NLR,AH019238-RA,5,5,6,1
AhypMYB100,MYB,AH019077-RA,8,2,0,1
